Position,Number of Days,Daily Fees,Total
Team Leader,30," £1,200.00 "," £36,000.00 "
Project Manager ,30, £700.00 ," £21,000.00 "
Local Project Coordiantor ,40, £400.00 ," £16,000.00 "
Senior Flood Risk Expert ,15," £1,200.00 "," £18,000.00 "
Flood Risk Expert ,40, £700.00 ," £28,000.00 "
Senior Remote Sensing Analyst ,15," £1,200.00 "," £18,000.00 "
Remote Sensing Analysts ,40, £600.00 ," £24,000.00 "
Data visualisation Expert ,30, £600.00 ," £18,000.00 "
Urban Planner ,3, £800.00 ," £2,400.00 "
Urban Infrastructure Expert ,3, £800.00 ," £2,400.00 "
Capacity Development Expert  ,20, £500.00 ," £10,000.00 "
Total Labour ,232,," £193,800.00 "
Total Expenses ,,,"60,000"
Total Project Costs ,,," £253,800.00 "